resort,ds,Year,Week,prop_hat,prop_lo,prop_hi,y_abs_hat,y_abs_lo,y_abs_hi
Mt. Stirling,2026-06-23,2026,3,0.01776812248090627,0.0,0.03921564417964161,142.74340715737134,0.0,480.51473018242643
Mt. Stirling,2026-06-30,2026,4,0.039541174157377006,0.0,0.05121163859872407,317.66113320596094,0.0,627.5033145124463
Mt. Stirling,2026-07-07,2026,5,0.06937855589850864,0.05285889522703737,0.06564078684710059,557.3651050218415,203.75403373583487,804.3056703674163
Mt. Stirling,2026-07-14,2026,6,0.08746613143959929,0.09858825960204218,0.08021458928122183,702.6748957848283,380.0260199656394,982.8804940343255
Mt. Stirling,2026-07-21,2026,7,0.09566641803939023,0.1028103680121335,0.0833372445779105,768.5533728258866,396.30088942197403,1021.142822723039
Mt. Stirling,2026-07-28,2026,8,0.10804921376678567,0.14940865250768504,0.08868384184003453,868.0327890760615,575.9222831411932,1086.6554209360083
Mt. Stirling,2026-08-04,2026,9,0.12396224737305332,0.18692551607931232,0.09770376185873338,995.8730061619884,720.5377211484189,1197.177752641124
Mt. Stirling,2026-08-11,2026,10,0.12638387881243277,0.20138287668937246,0.10044399404434363,1015.3276178075291,776.2661946403615,1230.7541978800186
Mt. Stirling,2026-08-18,2026,11,0.10661303300764374,0.14132613630165733,0.08930453160429665,856.4949726818938,544.7667837188171,1094.2608187521237
Mt. Stirling,2026-08-25,2026,12,0.07615197505634787,0.06669929558075981,0.07266377197869432,611.7805858771754,257.1043239467315,890.359281781375
Mt. Stirling,2026-09-01,2026,13,0.04930243617149073,0.0,0.05755182196614971,396.07998694516306,0.0,705.1904611560102
Mt. Stirling,2026-09-08,2026,14,0.029187194447879015,0.0,0.045480082366460305,234.4805752736155,0.0,557.2737606166726
Mt. Stirling,2026-09-15,2026,15,0.025387905216675586,0.0,0.043171841475091295,203.95830201592767,0.0,528.9905646545869
