Resort,Date,TempMax,TempMin,Rainfall,TempMax_lag1,TempMax_lag2,TempMin_lag1,TempMin_lag2,Rainfall_lag1,Rainfall_lag2,weekofyear,sin_week,cos_week
Mount Hotham,2017-02-26,13.885714285714286,4.542857142857143,22.599999999999998,12.571428571428571,18.314285714285713,4.071428571428571,12.271428571428572,3.4000000000000004,80.4,8,0.8229838658936564,0.5680647467311558
Mount Hotham,2017-03-05,16.857142857142858,9.071428571428571,10.6,13.885714285714286,12.571428571428571,4.542857142857143,4.071428571428571,22.599999999999998,3.4000000000000004,9,0.8854560256532098,0.4647231720437686
Mount Hotham,2017-03-12,15.3,6.785714285714286,0.8,16.857142857142858,13.885714285714286,9.071428571428571,4.542857142857143,10.6,22.599999999999998,10,0.9350162426854148,0.35460488704253557
Mount Hotham,2017-03-19,17.728571428571428,8.042857142857143,8.0,15.3,16.857142857142858,6.785714285714286,9.071428571428571,0.8,10.6,11,0.970941817426052,0.23931566428755804
Mount Hotham,2017-03-26,13.928571428571429,9.242857142857144,79.39999999999999,17.728571428571428,15.3,8.042857142857143,6.785714285714286,8.0,0.8,12,0.992708874098054,0.120536680255323
Mount Hotham,2017-04-02,10.37142857142857,2.871428571428571,24.2,13.928571428571429,17.728571428571428,9.242857142857144,8.042857142857143,79.39999999999999,8.0,13,1.0,-1.6081226496766366e-16
Mount Hotham,2017-04-09,8.914285714285715,3.0285714285714285,18.8,10.37142857142857,13.928571428571429,2.871428571428571,9.242857142857144,24.2,79.39999999999999,14,0.992708874098054,-0.12053668025532288
Mount Hotham,2017-04-16,8.385714285714286,1.4285714285714286,56.8,8.914285714285715,10.37142857142857,3.0285714285714285,2.871428571428571,18.8,24.2,15,0.9709418174260521,-0.2393156642875575
Mount Hotham,2017-04-23,10.414285714285715,5.2,22.6,8.385714285714286,8.914285714285715,1.4285714285714286,3.0285714285714285,56.8,18.8,16,0.9350162426854148,-0.35460488704253545
Mount Hotham,2017-04-30,6.628571428571429,0.5714285714285714,102.2,10.414285714285715,8.385714285714286,5.2,1.4285714285714286,22.6,56.8,17,0.8854560256532099,-0.4647231720437685
Mount Hotham,2017-05-07,4.442857142857143,-1.2285714285714284,18.6,6.628571428571429,10.414285714285715,0.5714285714285714,5.2,102.2,22.6,18,0.8229838658936565,-0.5680647467311557
Mount Hotham,2017-05-14,6.5,0.4428571428571428,3.5999999999999996,4.442857142857143,6.628571428571429,-1.2285714285714284,0.5714285714285714,18.6,102.2,19,0.7485107481711013,-0.6631226582407951
Mount Hotham,2017-05-21,7.114285714285715,1.8285714285714287,28.2,6.5,4.442857142857143,0.4428571428571428,-1.2285714285714284,3.5999999999999996,18.6,20,0.6631226582407952,-0.7485107481711012
Mount Hotham,2017-05-28,4.128571428571428,0.5571428571428572,28.2,7.114285714285715,6.5,1.8285714285714287,0.4428571428571428,28.2,3.5999999999999996,21,0.5680647467311558,-0.8229838658936564
Mount Hotham,2017-06-04,-0.3428571428571429,-4.571428571428571,6.0,4.128571428571428,7.114285714285715,0.5571428571428572,1.8285714285714287,28.2,28.2,22,0.46472317204376906,-0.8854560256532096
Mount Hotham,2017-06-11,3.314285714285714,-2.2285714285714286,13.6,-0.3428571428571429,4.128571428571428,-4.571428571428571,0.5571428571428572,6.0,28.2,23,0.35460488704253584,-0.9350162426854147
Mount Hotham,2017-06-18,6.742857142857143,-0.2166666666666667,0.4,3.314285714285714,-0.3428571428571429,-2.2285714285714286,-4.571428571428571,13.6,6.0,24,0.23931566428755768,-0.970941817426052
Mount Hotham,2017-06-25,2.1285714285714286,-1.3857142857142857,0.8,6.742857142857143,3.314285714285714,-0.2166666666666667,-2.2285714285714286,0.4,13.6,25,0.12053668025532308,-0.992708874098054
Mount Hotham,2017-07-02,0.7285714285714285,-4.3,18.2,2.1285714285714286,6.742857142857143,-1.3857142857142857,-0.2166666666666667,0.8,0.4,26,-3.216245299353273e-16,-1.0
Mount Hotham,2017-07-09,-1.2428571428571427,-3.1714285714285713,18.599999999999998,0.7285714285714285,2.1285714285714286,-4.3,-1.3857142857142857,18.2,0.8,27,-0.12053668025532283,-0.992708874098054
Mount Hotham,2017-07-16,-1.5142857142857142,-5.414285714285714,0.0,-1.2428571428571427,0.7285714285714285,-3.1714285714285713,-4.3,18.599999999999998,18.2,28,-0.23931566428755743,-0.9709418174260521
Mount Hotham,2017-07-23,-1.5571428571428572,-5.257142857142857,0.0,-1.5142857142857142,-1.2428571428571427,-5.414285714285714,-3.1714285714285713,0.0,18.599999999999998,29,-0.3546048870425356,-0.9350162426854148
Mount Hotham,2017-07-30,-0.12857142857142856,-3.7285714285714286,0.0,-1.5571428571428572,-1.5142857142857142,-5.257142857142857,-5.414285714285714,0.0,0.0,30,-0.46472317204376806,-0.8854560256532101
Mount Hotham,2017-08-06,-0.48571428571428565,-3.6714285714285713,0.0,-0.12857142857142856,-1.5571428571428572,-3.7285714285714286,-5.257142857142857,0.0,0.0,31,-0.5680647467311556,-0.8229838658936565
Mount Hotham,2017-08-13,-0.8200000000000001,-3.242857142857143,0.0,-0.48571428571428565,-0.12857142857142856,-3.6714285714285713,-3.7285714285714286,0.0,0.0,32,-0.663122658240795,-0.7485107481711013
Mount Hotham,2017-08-20,-1.2666666666666666,-3.9857142857142853,0.0,-0.8200000000000001,-0.48571428571428565,-3.242857142857143,-3.6714285714285713,0.0,0.0,33,-0.7485107481711011,-0.6631226582407952
Mount Hotham,2017-08-27,-1.3,-4.971428571428571,0.0,-1.2666666666666666,-0.8200000000000001,-3.9857142857142853,-3.242857142857143,0.0,0.0,34,-0.8229838658936564,-0.5680647467311559
Mount Hotham,2017-09-03,1.5857142857142859,-5.571428571428571,0.0,-1.3,-1.2666666666666666,-4.971428571428571,-3.9857142857142853,0.0,0.0,35,-0.8854560256532096,-0.4647231720437691
Mount Hotham,2017-09-10,-1.6285714285714286,-5.557142857142857,0.0,1.5857142857142859,-1.3,-5.571428571428571,-4.971428571428571,0.0,0.0,36,-0.9350162426854147,-0.3546048870425359
Mount Hotham,2017-09-17,2.1,-3.5285714285714285,0.0,-1.6285714285714286,1.5857142857142859,-5.557142857142857,-5.571428571428571,0.0,0.0,37,-0.970941817426052,-0.23931566428755774
Mount Hotham,2017-09-24,6.214285714285714,-0.1285714285714286,0.0,2.1,-1.6285714285714286,-3.5285714285714285,-5.557142857142857,0.0,0.0,38,-0.992708874098054,-0.12053668025532357
Mount Hotham,2017-10-01,3.314285714285714,-2.257142857142857,0.0,6.214285714285714,2.1,-0.1285714285714286,-3.5285714285714285,0.0,0.0,39,-1.0,-1.8369701987210297e-16
Mount Hotham,2017-10-08,7.557142857142857,1.5857142857142856,0.0,3.314285714285714,6.214285714285714,-2.257142857142857,-0.1285714285714286,0.0,0.0,40,-0.992708874098054,0.1205366802553232
Mount Hotham,2017-10-15,9.6,1.1500000000000001,0.0,7.557142857142857,3.314285714285714,1.5857142857142856,-2.257142857142857,0.0,0.0,41,-0.9709418174260521,0.23931566428755738
Mount Hotham,2017-10-22,11.528571428571428,4.128571428571428,0.0,9.6,7.557142857142857,1.1500000000000001,1.5857142857142856,0.0,0.0,42,-0.9350162426854148,0.35460488704253557
